ingredient_id,ingredient_name,ingredient_grp_name,ingredient_auth_num,ingredient_recom_name,ingredient_type,ingredient_limit_high,ingredient_limit_low,ingredeint_unit,ingredient_function_content,ingredient_caution_content,ingredinet_function_code,ingredinet_caution_code
256,자일로올리고당(xylooligosaccharide) 분말,자일로올리고당,제2009-80호,자일로올리고당,개별인정원료,7.5,0.7,g,"장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음",과량으로 섭취 시 설사를 유발할 수도 있습니다.,"{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 1, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 0, 'P2': 0, 'P1': 0, 'INFANT_TODDLER': 0, 'KIDS': 0, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
257,저분자콜라겐펩타이드,저분자콜라겐펩타이드,제2013-30호,저분자콜라겐펩타이드,개별인정원료,3000,1000,mg/일,피부 보습에 도움을 줄 수 있음 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음,"영·유아, 어린이, 임산부, 수유부는 섭취에 주의","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 1, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
258,파크랜 크랜베리 분말(PACran Whole Cranberry Powder),파크랜 크랜베리 분말,제2009-84호,파크랜크랜베리분말,개별인정원료,1000,500,mg,요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음,"와파린, 쿠마딘 등 항응고제, 오메프라졸 등의 위산분비 억제제와 함께 섭취하지 마십시오
제안된 섭취량 이상 과잉 복용할 경우 설사가 있을 수 있으므로, 정해진 섭취량을 준수하여 주십시오","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 1, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 1, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 1, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 0, 'P2': 0, 'P1': 0, 'INFANT_TODDLER': 0, 'KIDS': 0, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
259,닭가슴연골분말(UC-II),닭가슴연골분말,제2014-39호,닭가슴연골분말,개별인정원료,40,40,mg/일,관절건강에 도움을 줄 수 있음,"임산부, 수유부는 섭취 시 의사와 상담
복용중인 의약품이 있는 분은 섭취 시 의사와 상담","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 1, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 0, 'KIDS': 0, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
260,석류추출물,석류추출물,제2015-28호,석류추출물,개별인정원료,1.5,1.5,g,갱년기 여성의 건강에 도움을 줄 수 있음,"임산부와 수유부는 섭취를 피하는 것이 좋습니다.
항혈전제를 복용하시는 분은 의사와 상의하시기 바랍니다.
에스트로겐 호르몬에 민감한 사람은 섭취에 주의하시기 바랍니다.","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 1, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 1, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 1, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 1, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 0, 'KIDS': 0, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
261,저분자콜라겐펩타이드NS,저분자콜라겐펩타이드NS,제2019-20호,저분자콜라겐펩타이드NS,개별인정원료,1.65,1.65,g/일,"자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
피부보습에 도움을 줄 수 있음","영·유아, 어린이, 임산부와 수유부는 섭취에 주의
특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 1, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
262,L.plantarum IM76과 B.longum IM55 복합물(NVP1703),L.plantarum IM76과 B.longum IM55 복합물,제2019-28호,LplantarumIM76과BlongumIM55복합물,개별인정원료,10000000000,10000000000,CFU,면역과민반응에 의한 코상태 개선에 도움을 줄 수 있음,"질환이 있거나 의약품 복용 시 전문가와 상담할 것
특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의
영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 1, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
263,배초향 추출물(Agatri),배초향 추출물,제2020-4호,배초향추출물,개별인정원료,1,1,g/일,"피부보습에 도움을 줄 수 있음
자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음","영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 1, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
264,리프리놀-초록입홍합추출오일,리프리놀-초록입홍합추출오일,제2009-49호,리프리놀초록입홍합추출오일,개별인정원료,200,200,mg,관절 건강에 도움을 줄 수 있음,임신부 및 수유부는 섭취를 피할 것 간질환이 있거나 혈전용해제 등 복용 시 전문가와 상담할 것 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,"{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 1, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 1, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 1, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 0, 'KIDS': 0, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
265,정어리펩타이드 SP100N,정어리펩타이드 SP100N,제2004-1호,정어리펩타이드SP100N,개별인정원료,400,250,μg,혈압을 조절하는데 도움을 줄 수 있음,고혈압치료제 등 복용 시 전문가와 상담할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,"{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 1, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 1, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 0, 'P2': 0, 'P1': 0, 'INFANT_TODDLER': 0, 'KIDS': 0, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
266,올리브잎주정추출물,올리브잎주정추출물,제2014-9호,올리브잎주정추출물,개별인정원료,1000,500,mg/일,혈압 조절에 도움을 줄 수 있음,"위, 간 및 신장 질환이 있거나 고혈압치료제 등 복용시 전문가와 상의할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 1, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 1, 'DI02': 1, 'DI03': 0, 'DI04': 1, 'DI05': 0, 'DI06': 1, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 0, 'P2': 0, 'P1': 0, 'INFANT_TODDLER': 0, 'KIDS': 0, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
267,헛개나무과병추출분말,헛개나무과병추출분말,제2008-55호,헛개나무과병추출분말,개별인정원료,2460,2460,mg,"알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음
운동능력 향상에 도움을 줄 수 있음
스트레스로 인한 피로개선에 도움을 줄 수 있음",임산부 및 수유부는 섭취를 피할 것 간 질환이 있는 경우 전문가와 상담할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,"{'HF00': 0, 'HF01': 1, 'HF02': 1, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 1, 'HF18': 0, 'HF19': 1, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 1, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 0, 'KIDS': 0, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
268,스페인감초추출물,스페인감초추출물,제2014-4호,스페인감초추출물,개별인정원료,150,150,mg/일,위 점막 내 헬리코박터균(Helicobacter pylori) 증식을 억제하고 위 점막을 보호하여 위 건강에 도움을 줄 수 있음,"영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 1, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
269,헤모힘 당귀등 혼합추출물,헤모힘 당귀등 혼합추출물,제2006-17호,헤모힘당귀등혼합추출물,개별인정원료,40,20,g/일,면역기능 개선에 도움을 줄 수 있음,"어린이, 임산부 및 수유부는 섭취를 피할 것 월경불순이나 출혈성 질환이 있는 여성의 경우 전문가와 상담할 것 항응고제 복용시 전문가와 상담할 것 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 이상사례 발생시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 1, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 1, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 1, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
